key,Location_ID,Month,Year,low_water_temperature,high_water_temperature,low_barometric_pressure,high_barometric_pressure,low_conductivity,high_conductivity,low_specific_conductance,high_specific_conductance,low_turbidity,high_turbidity,low_salinity,high_salinity,low_ph,high_ph,low_do_concentration,high_do_concentration,low_do_saturation,high_do_saturation,low_wetted_width,high_wetted_width,low_discharge,high_discharge,low_mean_velocity,high_mean_velocity,low_mean_crossection_depth,high_mean_crossection_depth,low_anc,high_anc,low_tn,high_tn,low_tp,high_tp,low_tds,high_tds,low_air_temperature,high_air_temperature
NCRN_ANTI_ANCR200501,NCRN_ANTI_ANCR,01,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200502,NCRN_ANTI_ANCR,02,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200503,NCRN_ANTI_ANCR,03,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200504,NCRN_ANTI_ANCR,04,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200505,NCRN_ANTI_ANCR,05,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200506,NCRN_ANTI_ANCR,06,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200507,NCRN_ANTI_ANCR,07,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200508,NCRN_ANTI_ANCR,08,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200509,NCRN_ANTI_ANCR,09,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200510,NCRN_ANTI_ANCR,10,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200511,NCRN_ANTI_ANCR,11,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200512,NCRN_ANTI_ANCR,12,2005,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200601,NCRN_ANTI_ANCR,01,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200602,NCRN_ANTI_ANCR,02,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200603,NCRN_ANTI_ANCR,03,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200604,NCRN_ANTI_ANCR,04,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200605,NCRN_ANTI_ANCR,05,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200606,NCRN_ANTI_ANCR,06,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200607,NCRN_ANTI_ANCR,07,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200608,NCRN_ANTI_ANCR,08,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200609,NCRN_ANTI_ANCR,09,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200610,NCRN_ANTI_ANCR,10,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200611,NCRN_ANTI_ANCR,11,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200612,NCRN_ANTI_ANCR,12,2006,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200701,NCRN_ANTI_ANCR,01,2007,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200702,NCRN_ANTI_ANCR,02,2007,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
NCRN_ANTI_ANCR200703,NCRN_ANTI_ANCR,03,2007,5,23,720,780,1200,4800,1999,7999,19,79,6,24,3,11,10,40,100,400,199,799,2000,8000,19,79,2,8,2000,8000,19,79,19,79,1999,7999,-16,26
